year,baseScore,vectorString
1988,10.0,1
1989,4.6,1
1989,7.2,1
1989,10.0,1
1990,2.1,1
1990,4.6,1
1990,5.0,1
1990,7.2,1
1990,7.5,1
1991,4.6,1
1991,5.0,1
1991,6.2,1
1991,7.2,1
1991,7.5,1
1991,10.0,1
1992,0.0,1
1992,7.2,1
1992,7.5,1
1992,10.0,1
1993,2.1,1
1993,4.6,1
1993,5.0,1
1993,6.4,1
1993,7.2,1
1993,7.5,1
1993,10.0,1
1994,2.1,1
1994,4.6,1
1994,5.0,2
1994,6.2,1
1994,6.8,1
1994,7.2,1
1994,7.5,1
1994,10.0,1
1995,3.7,1
1995,4.6,1
1995,5.0,2
1995,6.2,1
1995,7.2,1
1995,7.5,1
1995,7.6,1
1995,10.0,1
1996,1.9,1
1996,2.1,3
1996,3.7,1
1996,4.6,1
1996,5.0,3
1996,6.2,1
1996,7.2,1
1996,7.5,1
1996,10.0,1
1997,0.0,1
1997,2.1,3
1997,2.6,1
1997,3.6,1
1997,4.6,1
1997,5.0,3
1997,5.1,1
1997,6.2,1
1997,6.4,2
1997,7.1,1
1997,7.2,1
1997,7.5,1
1997,7.6,1
1997,7.8,1
1997,9.3,1
1997,10.0,1
1998,1.2,1
1998,2.1,3
1998,2.6,2
1998,3.6,1
1998,4.6,1
1998,5.0,3
1998,5.1,1
1998,6.2,1
1998,6.4,2
1998,7.2,1
1998,7.5,1
1998,7.6,1
1998,7.8,2
1998,9.3,1
1998,10.0,1
1999,0.0,1
1999,1.2,2
1999,2.1,3
1999,2.6,4
1999,3.5,1
1999,3.6,2
1999,3.7,1
1999,4.0,1
1999,4.3,2
1999,4.6,1
1999,4.9,1
1999,5.0,3
1999,5.1,1
1999,6.2,1
1999,6.4,3
1999,7.1,2
1999,7.2,1
1999,7.5,1
1999,7.6,1
1999,7.8,2
1999,9.0,1
1999,9.3,1
1999,10.0,1
2000,1.2,2
2000,2.1,3
2000,2.6,3
2000,3.6,2
2000,3.7,1
2000,4.3,1
2000,4.6,1
2000,5.0,3
2000,5.1,1
2000,6.2,1
2000,6.4,3
2000,7.1,1
2000,7.2,1
2000,7.5,1
2000,7.6,1
2000,7.8,1
2000,9.0,1
2000,10.0,1
2001,1.2,2
2001,2.1,3
2001,2.6,5
2001,3.3,1
2001,3.6,2
2001,3.7,1
2001,4.0,1
2001,4.3,2
2001,4.6,1
2001,5.0,3
2001,5.1,1
2001,6.2,1
2001,6.4,3
2001,6.8,1
2001,7.1,1
2001,7.2,1
2001,7.5,1
2001,7.6,1
2001,7.8,2
2001,9.0,1
2001,9.3,1
2001,10.0,1
2002,1.2,3
2002,1.7,1
2002,1.9,2
2002,2.1,3
2002,2.6,4
2002,3.3,1
2002,3.5,1
2002,3.6,2
2002,3.7,1
2002,3.8,1
2002,4.0,2
2002,4.3,3
2002,4.6,1
2002,4.9,3
2002,5.0,3
2002,5.1,1
2002,5.4,1
2002,5.8,1
2002,6.2,1
2002,6.4,3
2002,6.6,1
2002,6.8,3
2002,6.9,1
2002,7.1,2
2002,7.2,1
2002,7.5,1
2002,7.6,1
2002,7.8,2
2002,8.3,1
2002,8.5,1
2002,8.8,1
2002,9.3,1
2002,9.4,1
2002,10.0,1
2003,1.2,3
2003,1.7,1
2003,1.9,1
2003,2.1,3
2003,2.6,4
2003,3.3,1
2003,3.5,1
2003,3.6,3
2003,3.7,1
2003,4.0,3
2003,4.3,4
2003,4.4,1
2003,4.6,1
2003,4.8,1
2003,4.9,2
2003,5.0,3
2003,5.1,1
2003,5.2,1
2003,5.8,1
2003,6.2,1
2003,6.3,2
2003,6.4,3
2003,6.5,1
2003,6.6,1
2003,6.8,2
2003,6.9,1
2003,7.1,2
2003,7.2,1
2003,7.5,1
2003,7.6,1
2003,7.8,2
2003,8.3,1
2003,8.5,2
2003,8.8,1
2003,9.0,2
2003,9.3,1
2003,10.0,1
2004,1.0,1
2004,1.2,2
2004,1.7,1
2004,1.9,1
2004,2.1,3
2004,2.6,5
2004,3.5,2
2004,3.6,2
2004,3.7,1
2004,4.0,5
2004,4.3,3
2004,4.4,1
2004,4.6,1
2004,4.7,1
2004,4.9,1
2004,5.0,3
2004,5.1,1
2004,5.4,2
2004,5.5,1
2004,5.6,1
2004,5.8,2
2004,6.0,2
2004,6.2,1
2004,6.4,3
2004,6.5,1
2004,6.8,3
2004,6.9,1
2004,7.1,2
2004,7.2,1
2004,7.5,1
2004,7.6,1
2004,7.8,2
2004,8.5,1
2004,9.0,1
2004,9.3,1
2004,10.0,1
2005,1.2,3
2005,1.7,1
2005,1.9,2
2005,2.1,3
2005,2.6,3
2005,3.5,1
2005,3.6,3
2005,3.7,1
2005,4.0,5
2005,4.3,4
2005,4.6,2
2005,4.7,1
2005,4.9,2
2005,5.0,3
2005,5.1,1
2005,5.4,2
2005,5.6,1
2005,5.7,1
2005,5.8,3
2005,6.1,1
2005,6.2,1
2005,6.4,3
2005,6.5,1
2005,6.6,1
2005,6.8,3
2005,6.9,1
2005,7.1,2
2005,7.2,1
2005,7.5,1
2005,7.6,1
2005,7.8,3
2005,8.5,1
2005,9.0,1
2005,9.3,1
2005,9.4,2
2005,10.0,1
2006,1.2,3
2006,1.5,1
2006,1.7,3
2006,1.9,3
2006,2.1,5
2006,2.3,1
2006,2.4,2
2006,2.6,5
2006,2.7,1
2006,2.9,1
2006,3.2,1
2006,3.3,2
2006,3.5,4
2006,3.6,5
2006,3.7,1
2006,4.0,8
2006,4.1,2
2006,4.3,4
2006,4.4,1
2006,4.6,3
2006,4.7,2
2006,4.9,5
2006,5.0,3
2006,5.1,1
2006,5.4,3
2006,5.5,3
2006,5.6,1
2006,5.7,1
2006,5.8,5
2006,6.0,2
2006,6.1,1
2006,6.2,1
2006,6.3,1
2006,6.4,3
2006,6.5,1
2006,6.6,4
2006,6.8,3
2006,6.9,1
2006,7.1,5
2006,7.2,1
2006,7.5,1
2006,7.6,1
2006,7.8,2
2006,7.9,1
2006,8.3,1
2006,9.0,2
2006,9.3,1
2006,9.7,1
2006,10.0,1
2007,1.2,1
2007,1.5,2
2007,1.7,1
2007,1.8,1
2007,1.9,3
2007,2.1,5
2007,2.3,1
2007,2.6,4
2007,2.9,1
2007,3.2,1
2007,3.3,2
2007,3.4,1
2007,3.5,4
2007,3.6,4
2007,3.7,1
2007,3.8,1
2007,4.0,6
2007,4.1,1
2007,4.3,7
2007,4.4,3
2007,4.6,4
2007,4.7,1
2007,4.9,6
2007,5.0,3
2007,5.1,1
2007,5.2,1
2007,5.4,3
2007,5.5,3
2007,5.7,1
2007,5.8,4
2007,6.0,3
2007,6.1,2
2007,6.2,2
2007,6.3,4
2007,6.4,3
2007,6.5,2
2007,6.6,7
2007,6.8,6
2007,6.9,1
2007,7.1,7
2007,7.2,1
2007,7.3,1
2007,7.4,1
2007,7.5,1
2007,7.6,2
2007,7.8,6
2007,7.9,1
2007,8.3,2
2007,8.5,7
2007,8.8,1
2007,9.0,3
2007,9.3,1
2007,9.4,3
2007,10.0,1
2008,1.0,1
2008,1.2,1
2008,1.5,1
2008,1.7,2
2008,1.9,3
2008,2.1,5
2008,2.6,4
2008,3.2,1
2008,3.3,2
2008,3.5,3
2008,3.6,3
2008,3.7,1
2008,4.0,6
2008,4.1,1
2008,4.3,5
2008,4.4,2
2008,4.6,4
2008,4.7,3
2008,4.8,1
2008,4.9,4
2008,5.0,3
2008,5.1,1
2008,5.4,2
2008,5.5,2
2008,5.8,3
2008,6.0,1
2008,6.1,1
2008,6.2,2
2008,6.3,4
2008,6.4,3
2008,6.5,2
2008,6.6,2
2008,6.8,4
2008,6.9,1
2008,7.1,4
2008,7.2,1
2008,7.5,1
2008,7.6,1
2008,7.8,5
2008,7.9,1
2008,8.3,2
2008,8.5,5
2008,8.8,2
2008,9.0,4
2008,9.3,1
2008,9.4,2
2008,10.0,1
2009,1.2,1
2009,1.5,1
2009,1.7,1
2009,1.9,3
2009,2.1,5
2009,2.6,3
2009,2.7,1
2009,3.0,1
2009,3.3,3
2009,3.5,3
2009,3.6,4
2009,3.7,1
2009,4.0,8
2009,4.1,2
2009,4.3,4
2009,4.4,1
2009,4.6,4
2009,4.7,2
2009,4.8,1
2009,4.9,4
2009,5.0,3
2009,5.1,1
2009,5.4,4
2009,5.5,3
2009,5.7,1
2009,5.8,4
2009,5.9,2
2009,6.0,2
2009,6.1,1
2009,6.2,2
2009,6.3,2
2009,6.4,3
2009,6.5,1
2009,6.6,2
2009,6.8,4
2009,6.9,1
2009,7.1,4
2009,7.2,1
2009,7.3,1
2009,7.5,2
2009,7.6,1
2009,7.8,3
2009,8.3,1
2009,8.5,3
2009,8.8,1
2009,9.0,2
2009,9.3,1
2009,9.4,1
2009,10.0,1
2010,1.0,2
2010,1.2,2
2010,1.5,1
2010,1.7,1
2010,1.9,3
2010,2.1,6
2010,2.4,2
2010,2.6,4
2010,2.7,1
2010,2.9,2
2010,3.0,1
2010,3.2,2
2010,3.3,4
2010,3.5,3
2010,3.6,4
2010,3.7,1
2010,3.8,1
2010,4.0,8
2010,4.1,1
2010,4.3,5
2010,4.4,3
2010,4.6,3
2010,4.7,2
2010,4.9,3
2010,5.0,3
2010,5.1,1
2010,5.4,3
2010,5.5,2
2010,5.6,3
2010,5.7,3
2010,5.8,3
2010,6.0,1
2010,6.1,2
2010,6.2,2
2010,6.3,3
2010,6.4,3
2010,6.5,1
2010,6.6,4
2010,6.8,5
2010,6.9,2
2010,7.1,4
2010,7.2,1
2010,7.3,1
2010,7.5,2
2010,7.6,2
2010,7.8,3
2010,7.9,1
2010,8.0,1
2010,8.3,1
2010,8.5,3
2010,8.8,1
2010,9.0,3
2010,9.3,1
2010,10.0,1
2011,1.0,1
2011,1.2,3
2011,1.3,1
2011,1.5,2
2011,1.7,3
2011,1.8,1
2011,1.9,3
2011,2.1,5
2011,2.4,1
2011,2.6,3
2011,2.8,1
