year,baseScore31,vectorString31
1997,7.5,1
2004,4.8,1
2008,5.5,1
2008,6.8,1
2008,7.8,1
2009,5.5,1
2009,7.0,1
2009,7.8,2
2009,8.8,1
2010,5.5,3
2010,5.8,1
2010,6.5,1
2010,7.1,1
2010,7.5,1
2010,7.8,1
2010,8.1,1
2010,8.8,1
2010,9.8,1
2011,5.5,1
2011,6.1,1
2011,6.5,1
2011,7.5,1
2011,7.8,1
2011,8.8,2
2012,5.5,3
2012,5.8,1
2012,5.9,1
2012,6.0,1
2012,6.1,1
2012,6.5,2
2012,7.2,1
2012,7.5,1
2012,7.8,2
2012,8.8,2
2012,9.1,2
2012,9.6,1
2012,9.8,1
2012,9.9,1
2013,5.4,1
2013,5.5,1
2013,5.9,1
2013,7.0,1
2013,7.5,2
2013,7.8,1
2013,8.1,1
2013,9.3,1
2013,9.8,1
2014,3.3,1
2014,3.4,1
2014,4.6,1
2014,4.7,1
2014,5.5,4
2014,6.1,1
2014,6.5,1
2014,6.8,1
2014,7.4,1
2014,7.5,3
2014,7.8,1
2014,8.8,2
2014,9.1,1
2014,9.8,1
2015,4.8,1
2015,5.3,2
2015,5.4,2
2015,6.0,1
2015,7.2,1
2015,7.3,2
2015,7.5,4
2015,8.8,1
2015,9.8,1
2016,3.3,3
2016,3.7,1
2016,4.1,2
2016,4.3,2
2016,4.4,3
2016,4.6,1
2016,4.7,1
2016,4.9,1
2016,5.0,1
2016,5.1,2
2016,5.3,4
2016,5.4,1
2016,5.5,4
2016,5.6,1
2016,5.9,3
2016,6.0,3
2016,6.1,1
2016,6.2,1
2016,6.3,1
2016,6.4,1
2016,6.5,11
2016,6.7,1
2016,6.8,2
2016,7.0,1
2016,7.1,1
2016,7.2,1
2016,7.3,3
2016,7.5,6
2016,7.6,2
2016,7.7,2
2016,7.8,3
2016,8.0,1
2016,8.1,4
2016,8.2,2
2016,8.4,2
2016,8.6,2
2016,8.8,3
2016,9.0,1
2016,9.1,2
2016,9.6,1
2016,9.8,1
2016,10.0,1
2017,2.7,2
2017,3.1,4
2017,3.3,3
2017,3.5,1
2017,3.7,2
2017,3.8,1
2017,4.0,4
2017,4.1,1
2017,4.2,1
2017,4.3,5
2017,4.4,2
2017,4.6,2
2017,4.7,4
2017,4.8,1
2017,4.9,2
2017,5.0,1
2017,5.3,9
2017,5.4,2
2017,5.5,5
2017,5.6,2
2017,5.7,1
2017,5.9,3
2017,6.0,1
2017,6.1,1
2017,6.2,2
2017,6.3,2
2017,6.4,1
2017,6.5,14
2017,6.6,1
2017,6.7,3
2017,6.8,5
2017,7.0,2
2017,7.1,6
2017,7.2,1
2017,7.3,2
2017,7.4,4
2017,7.5,7
2017,7.7,1
2017,7.8,3
2017,7.9,1
2017,8.0,2
2017,8.1,2
2017,8.2,1
2017,8.3,1
2017,8.4,1
2017,8.6,3
2017,8.8,4
2017,9.0,1
2017,9.1,3
2017,9.6,1
2017,9.8,1
2017,10.0,2
2018,2.4,1
2018,3.1,2
2018,3.3,3
2018,3.4,1
2018,3.6,1
2018,3.7,2
2018,3.8,1
2018,4.2,1
2018,4.3,7
2018,4.4,6
2018,4.6,2
2018,4.7,7
2018,4.8,1
2018,4.9,4
2018,5.0,1
2018,5.3,12
2018,5.4,4
2018,5.5,8
2018,5.6,3
2018,5.7,3
2018,5.8,1
2018,5.9,4
2018,6.0,1
2018,6.1,2
2018,6.3,1
